CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25070703,CAIC JOSE JOFILLY,2005,2.7
25070703,CAIC JOSE JOFILLY,2007,3.4
25070703,CAIC JOSE JOFILLY,2009,2.6
25070703,CAIC JOSE JOFILLY,2011,2.9
25070720,EMEF CEAI ANTONIO MARIZ,2009,3.7
25070720,EMEF CEAI ANTONIO MARIZ,2017,4
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2009,3.4
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2013,3.5
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2015,3.5
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2017,3.5
25071394,EEEFM MONSENHOR SALES,2005,2.5
25071394,EEEFM MONSENHOR SALES,2007,3.8
25071394,EEEFM MONSENHOR SALES,2015,2.4
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2005,3.1
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2007,2.4
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2009,2.3
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2011,2.4
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2013,2.9
25072005,EEEFM ADEMAR VELOSO SILVEIRA,2015,3.3
25072013,EEEFM PROF RAUL CORDULA,2005,3.4
25072013,EEEFM PROF RAUL CORDULA,2007,2.4
25072013,EEEFM PROF RAUL CORDULA,2009,2.6
25072013,EEEFM PROF RAUL CORDULA,2011,3.2
25072013,EEEFM PROF RAUL CORDULA,2013,3.2
25072013,EEEFM PROF RAUL CORDULA,2015,4.3
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2005,2.1
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2007,3.1
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2009,2.6
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2011,2.4
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2013,4
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2015,3
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2017,3.3
25072030,EEEFM NENZINHA CUNHA LIMA,2005,2.1
25072030,EEEFM NENZINHA CUNHA LIMA,2007,2.7
25072030,EEEFM NENZINHA CUNHA LIMA,2009,2.7
25072030,EEEFM NENZINHA CUNHA LIMA,2011,3.2
25072030,EEEFM NENZINHA CUNHA LIMA,2013,2.9
25072048,EEEF JOSE DOROTEIA DUTRA,2005,2.3
25072048,EEEF JOSE DOROTEIA DUTRA,2009,3.7
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2005,2.4
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2007,3.1
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2009,2.9
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2011,2.8
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2013,2.6
25072064,EEEF MARIA AUGUSTA LUCENA BRITO,2017,4
25072080,EEEF NINA ALVES DE LIMA,2005,2.6
25072080,EEEF NINA ALVES DE LIMA,2007,2.4
25072080,EEEF NINA ALVES DE LIMA,2009,1.6
25072080,EEEF NINA ALVES DE LIMA,2013,3.2
25072080,EEEF NINA ALVES DE LIMA,2015,2.5
25072080,EEEF NINA ALVES DE LIMA,2017,1.6
25072099,EEEFM ASSIS CHATEAUBRIAND,2005,2.1
25072099,EEEFM ASSIS CHATEAUBRIAND,2007,1.7
25072099,EEEFM ASSIS CHATEAUBRIAND,2009,1.8
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2005,2.8
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2007,2.1
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2009,2
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2011,2.7
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2015,2.8
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2017,3.5
25072110,EEEFM FELIX ARAUJO,2005,1.8
25072110,EEEFM FELIX ARAUJO,2007,2
25072110,EEEFM FELIX ARAUJO,2009,2.4
25072110,EEEFM FELIX ARAUJO,2011,2.7
25072110,EEEFM FELIX ARAUJO,2013,3.5
25072110,EEEFM FELIX ARAUJO,2015,3.2
25072110,EEEFM FELIX ARAUJO,2017,3.7
25072129,EEEFM SAO SEBASTIAO,2005,2.6
25072129,EEEFM SAO SEBASTIAO,2007,2.6
25072129,EEEFM SAO SEBASTIAO,2009,3.2
25072129,EEEFM SAO SEBASTIAO,2011,2.6
25072129,EEEFM SAO SEBASTIAO,2013,3.1
25072129,EEEFM SAO SEBASTIAO,2015,3.8
