Código da Escola,Nome da Escola,IDEB_2005,IDEB_2007,IDEB_2009,IDEB_2011,IDEB_2013,IDEB_2015,IDEB_2017
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2.6,2.8,3.7,4,4,5,4.5
25071394,EEEFM MONSENHOR SALES,2.8,3.1,3.4,-,-,-,-
25071939,ESC EST AUDIO COMUNICACAO DE C GRANDE,-,-,-,-,-,-,-
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,3.1,4,4,2.3,-,-,-
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,3.4,4.4,3.1,4.1,4.4,4.9,-
25072080,EEEF NINA ALVES DE LIMA,2.9,2.3,2.9,-,-,-,-
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,-,3.6,-,3.8,-,-,-
25072161,EEEF NOSSA SENHORA DO ROSARIO,4.5,4.2,4.8,4.7,5.1,-,-
25072170,EMEF ADV OTAVIO AMORIM,3.1,3.7,4,3.9,5.1,4.1,5.6
25072196,EEEF ANTONIO VICENTE,2.6,3,4.4,4.4,4.7,4.9,5.3
25072200,EEEF AUGUSTO DOS ANJOS,2.9,3.7,4,4,5.2,-,4.9
25072218,EEEFM CLEMENTINO PROCOPIO,3.5,2.6,3.4,-,-,-,-
25072226,EEEF DE APLICACAO,3.8,4.3,4.5,4.9,4.5,4.6,-
25072277,EEEF MONTE CARMELO CEPES CGI,2.5,4.4,3.8,4.4,4.1,3.3,-
25072285,EEEF MURILO BRAGA,3.4,1.8,3.3,3.5,3.9,3.2,4
25072293,EEEF NOSSA SENHORA APARECIDA,2.3,2.4,3.1,3.2,2.9,2.6,-
25072307,EEEF SOLON DE LUCENA,2.8,3.3,4.2,4.5,-,-,-
25072315,EEEF SANTO ANTONIO,-,5.4,5.4,5.6,6,6.3,-
25072340,EEEF ALCEU DO AMOROSO LIMA,3.9,4.9,5,5.4,4.9,5.1,4.6
25072366,EEEF FAZENDA VELHA,-,-,3.7,-,-,-,-
25072374,EEEF MA EMILIA O DE ALMEIDA,2.7,1.8,-,-,-,-,-
25072552,EMEF DR CHATEAUBRIAND,2.9,2.6,3.2,-,2.6,3.4,3.9
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2.9,3.1,2.7,3.5,3.5,3.7,3.9
25072889,ESCOLA SANTO ANTONIO 1,4.5,5.3,5.6,6.1,5.9,6,6.2
25073567,EMEF AGEU GENUINO DA SILVA,2.2,-,-,4,5.5,5.6,6.4
25073575,EMEF AMARO DA COSTA BARROS,2.9,2.5,2.8,3.5,3.7,3.2,-
25073605,EMEF ANTONIO GUEDES DE ANDRADE,1.7,-,-,-,-,-,-
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,3.3,3.4,4.3,4.4,4,4.7,5.7
25073630,EMEF FERNANDO CUNHA LIMA,-,3.3,-,3.9,3.2,3.7,4.2
25073648,EMEF FREI DAGOBERTO STUCKER,2.9,2.2,2.9,-,-,-,-
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,-,3.6,3.2,3.3,3.7,3.8,2.9
25073664,EMEF JOSE GUILHERMINO BARBOSA,2.9,3.2,4.1,3.5,4.2,5.3,5.3
25073672,EMEF JOANA DE ANGELIS,3.5,-,-,-,-,-,-
25073699,EMEF LAFAYETE CAVALCANTE,3.2,2.9,3.8,4.4,3.7,4.3,4.9
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,3.6,3.6,4.6,5.3,4.1,4.9,6
25073729,EMEF LUIZ CAMBEBA,-,3.9,3.8,4.3,3.9,4.6,5
25073737,EMEF LUIZ JOAQUIM AVELINO,2.7,2.9,3.5,3.7,3.4,4,-
25073745,EMEF MANOEL DA COSTA CIRNE,2.2,2.4,2.9,3.1,3.6,3.4,4.6
25073761,EMEF MARIA DA LUZ,-,-,3.7,-,-,-,-
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,3.1,3.2,3.6,4.3,4.4,5.3,6.3
25073796,EMEF NENZINHA CUNHA LIMA,3.2,3.3,4.1,3.2,4,4.4,-
25073800,EMEF PADRE ANTONINO,-,2.8,3.7,2.9,4.3,5,6.5
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,4.1,3.7,3.6,4.8,4.7,6.1,5.7
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,3.3,3.6,4,5.1,4.3,5.2,5.9
25073850,EMEF RAIMUNDO ASFORA,-,2.8,3.2,3.6,3.5,4.4,4.5
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,-,3.9,3.5,4.5,4.4,5,6.1
25073885,EMEF SANTO AFONSO,2.4,4.4,3.6,3.9,4.7,5,4.4
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR,2.3,2.8,3.6,-,3.5,-,-
25073982,EMEF ALICE GAUDENCIO,2.5,2.8,3.3,3.7,3.5,4.4,5.2
25074024,EMEF ALMEIDA BARRETO,-,2.4,-,3.3,-,-,-
25074059,EMEF ANA AZEVEDO,3.1,4.5,4.9,5.1,3.9,4.3,5.9
25074075,EMEF ANESIO LEAO,3,2.8,2.4,3.1,3,2.3,4.2
25074091,EMEF ANIS TIMANI,2.7,2.6,3.6,4.3,3.7,4.1,3.9
25074113,EMEF ANISIO TEIXEIRA,-,2.8,3.3,4.2,4.6,3.3,-
25074148,EMEF APOLONIA AMORIM,2.8,-,3.6,-,-,-,5
25074164,EMEF AROLDO CRUZ FILHO,-,3.6,-,4.5,4,-,5.9
25074172,EMEF CENTENARIO,3.1,3.4,-,-,-,4.6,4.9
25074199,EMEF CICERO VIRGINIO,-,1.9,-,-,-,4.4,5
25074229,EMEF CRISTINA PROCOPIO,2.5,3,3.7,4,4.2,4.2,-
25074245,EMEF DEP PETRONIO FIGUEREDO,3,2.3,3.3,-,-,-,5.3
25074288,EMEF DR SEVERINO CRUZ,3.1,3.5,4.7,4.8,-,5.7,5.8
25074296,EMEF EPITACIO PESSOA,2.4,2.8,3.4,4.2,4.3,5.1,5.5
25074326,EMEF FELIX ARAUJO,2.9,3.6,3.1,3.6,4.2,4.7,5.3
25074369,EMEF GRACITA MELO,-,-,-,3.6,-,5.1,5.5
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,3.3,3.6,3.3,4.7,5.1,5.7,6.3
25074393,EMEF HELENO HENRIQUES,-,2.5,3.8,4.2,3.1,4.9,5.6
25074407,EMEF HENRIQUE G BARBOSA,3.9,3.2,3,4,3.7,4.6,5.5
25074482,EMEF JOSE VIRGINIO DE LIMA,-,-,2.6,2.9,-,-,-
25074512,EMEF JOSELITA BRASILEIRO,-,-,-,-,-,-,5.2
25074547,EMEF LILIOSA BARRETO,-,3.8,3.7,3.2,3.5,4.1,-
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,3.2,3,3.7,4.7,3.8,5.5,6.2
25074580,EMEF LUIS GOMES DA SILVA,-,3.8,4.2,4.3,4,6.3,5.6
25074636,EMEF MARECHAL CANDIDO RONDON,-,3.8,4.3,-,5.2,-,-
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,3.2,3.8,4.5,4.3,4.5,4.7,5.5
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2.3,2.5,2.9,4.5,-,-,5
25074717,EMEF MARIINHA BORBOREMA,1.9,2.8,2.6,3.3,3.6,4.1,5.1
25074733,EMEF MELO LEITAO,3.3,2.9,4,4.9,4.3,3.4,5.9
25074741,EMEF MONSENHOR SALES,-,3.3,-,4.3,4.8,5.1,5.1
25074776,EMEF PADRE CORNELIO BOER,-,4,4.7,-,5,5.3,6.3
25074792,EMEF PE EMIDIO VIANA CORREIA,-,3.3,2.9,4.1,4.1,4.6,5.4
25074806,EMEF POETA ALVARO G PINHEIRO,-,3.2,4.6,3.9,4.1,5.2,6
25074814,EMEF PRESIDENTE KENNEDY,-,3,3.7,4.5,4.2,4.9,5
25074865,EMEF PROF CAPIBA,-,3.9,4.3,4.2,5.2,-,-
25074890,EMEF PROF MIRON,3.8,3,-,4.7,3.2,3.8,3.5
25074903,EMEF PROFESSORA NELY DE LIMA E MELO,-,3,3.3,3.5,2.9,2.6,3.7
25074920,EMEF PROF SELMA AGRA VILARIM,-,3.9,3.2,3.6,3.9,-,4.3
25074938,EMEF PROFA LUZIA DANTAS,-,4.6,4.7,4.5,5,3.9,5.5
25074962,EMEF SANDRA CAVALCANTI,-,3.5,4.6,-,2.6,5.5,6.6
25075020,EMEF STELLITA CRUZ,3.5,2.7,2.8,4.6,4.6,4.2,5.5
25075047,EMEF SANTO ANTONIO 2,2.9,3.8,3,3.9,2.7,-,6.2
25075071,EMEF TIRADENTES,2.3,2.7,3.1,3.4,4.3,4,-
25075462,EMEF DEZENOVE DE MARCO,-,4.1,2.7,3.8,4,4.1,5
25076183,EMEF ADALGISA AMORIM,3.7,3.8,4.8,3.7,5,4.8,-
25076221,EMEF JOAO FRANCISCO DA MOTA,-,-,3.9,3.3,4.2,5.6,5.1
25076256,EMEF NOSSA SRA DO PERPETUO SOCORRO,-,-,-,5.1,4.3,4.5,5.3
25076280,EMEF IRACEMA PIMENTEL,-,-,2.8,4,3.9,4.6,4.9
25076493,EMEF CICERO CORREIA DE MENESES,2.5,-,4.8,-,4.2,4.5,4.6
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2.3,3,3.3,-,4.3,3.4,-
25076590,EEEFM JOSE MIGUEL LEAO,2.8,3,3.2,3.7,3.6,-,3.1
25076930,EMEF SAO CLEMENTE,2.9,-,3.4,3.7,3.6,3.8,-
25077023,EMEF LUIS JUVINO GOMES,-,-,4.3,4.1,3.4,4.1,-
25077040,EMEF PROF LUIS GIL,-,-,3.4,3.8,3.6,5,5.8
25077058,EMEF PROF MAURO LUNA,-,-,3.5,4.4,4.2,4.6,5.2
25077066,EMEF ANTONIO ALVES DE ARAUJO,-,-,-,4,3.4,4.1,4.6
25108662,EMEF CEAI DR JOAO PEREIRA DE ASSIS,3.4,3.6,3.6,3.9,4,4.9,5.2
25114034,EEEF DOM HELDER CAMARA,3.4,4.3,3.4,4.1,4.4,4,5
25114433,EEEF SENADOR HUMBERTO LUCENA,-,-,3.5,4.1,3.7,4,3.3
25114808,EEEFM PROF ITAN PEREIRA,2.6,2.7,-,3.2,3.6,-,-
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,3.2,3.4,3.4,-,4.3,3.8,5
25117688,EEEF IRMA STEFANIE,3.3,4.3,4.5,-,4.1,3.5,-
25117858,EEEF REITOR EDVALDO DO O,3.4,3.7,-,-,4.1,-,-
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2.7,3.4,3.4,4.2,4.1,5.2,2.8
25117882,EMEF DR WILLIAMS DE SOUZA ARRUDA,3.2,3.2,3.7,4.3,4.4,4.7,4.6
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,3.1,2,2.4,3.8,3.3,3.8,3.9
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2.5,3.5,2.2,4.4,3.5,-,-
25121669,EMEF CASSIANO PASCOAL PEREIRA,4,4.7,4.8,5.5,5.3,5.2,6
25121677,EMEF MANOEL FRANCISCO DA MOTTA,3.9,4,4.4,5.4,5.7,6,6.4
25121685,EMEF ROBERTO SIMONSEN,2.7,3.3,4.2,4.4,4.8,5.2,5.8
25122541,EMEF SEMENTE DE VIDA,-,5.2,-,-,-,-,-
25122576,EMEF PAULO FREIRE,-,2.1,4.4,3.6,3.4,4.4,3.4
25128531,ESCOLA MUNICIPAL PROFESSOR ERALDO CEZAR DE ARAUJO,-,-,-,-,-,-,4.9
25148800,EMEF MARIA SALOME ALVES DOS SANTOS,-,-,4.5,3.7,4.1,-,4.2
25150200,EMEF ESTUDANTE LEONARDO VITORINO GUIMARAES,-,-,4.3,5.2,5.8,5.9,6.3
25251945,EEEF ZULEIDE CAVALCANTE PORTO,-,-,2.9,-,2.9,3.6,3.1
41124545,ANNA F DA COSTA E M EI EF,3.9,4.2,4.9,4.9,5.8,6.4,6.1
41124553,ANTONIO J DE CARVALHO E M EI EF,4.7,4.1,5.3,5.5,6.2,6.4,6.2
41124561,AUGUSTO STABEN E M EI EF,4.6,5.1,4.9,5.8,6,6.5,5.6
41124642,HUMBERTO A C BRANCO E M MAL EI EF,-,-,4.3,4.5,-,-,5.2
41124677,JOAO ASSUNCAO E R M EI EF,-,-,4.4,4.5,5,-,5
41124685,JOSE E GONCALVES E M EI EF,4.2,4.7,4.9,5.3,5.7,6.3,5.7
41124707,LUCIDIO F RIBEIRO E M EI EF,4.8,5.1,4.9,5.4,5.5,6.7,5.9
41124723,MARCOS N STRAPASSONI E M EF,4.4,4.3,5.1,4.9,5.9,5.7,5.4
41124758,NILCE T ZANETTI E M PROFA EI EF,4.2,4.5,5,5,5.2,6,6.1
41124812,SANTA LETICIA E R M EF,-,-,4.5,4.1,4.6,5.3,4.6
41124855,ULISSES GUIMARAES E M EI EF,4.2,4.8,4.7,5,4.6,6.3,5.5
41384563,ALESSANDRA C ASSUNCAO E M EI EF,-,4.6,4.2,-,-,-,-
