NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA,NO_ESCOLA,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2010,25,PB,2504009,Campina Grande,25070703,CAIC JOSE JOFILLY,2,1,23,,11,26.7,477.99,448.17,469.15,484.16,604.55,,,,,,85.9,2.0,12.1,De 1 a 30 alunos
2014,25,PB,2504009,Campina Grande,25070703,CAIC JOSE JOFILLY,2,1,20,0.0,14,70.0,504.26,439.86,468.44,439.96,444.29,,,,72.0,78.57,75.3,2.6,22.1,De 1 a 30 alunos
2014,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS,4,1,236,0.0,219,92.8,599.21,556.6,561.54,539.68,682.65,,,,74.5,70.78,87.6,11.0,1.4,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS LTDA,4,1,227,,191,84.1,586.14,539.04,566.61,567.76,650.4,,,,,,91.1,8.5,0.4,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS LTDA,4,1,228,,112,49.1,544.69,551.78,544.12,539.14,635.49,,,,,,92.8,6.4,0.8,Maior que 90 alunos
2012,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS LTDA,4,1,257,,252,98.05,570.86,510.99,532.61,578.01,607.86,,,,,,90.7,8.4,0.9,Maior que 90 alunos
2011,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS LTDA,4,1,258,,240,93.02,538.31,523.14,577.36,587.61,621.92,,,,,,92.0,7.5,0.5,Maior que 90 alunos
2013,25,PB,2504009,Campina Grande,25070932,COLEGIO ALFREDO DANTAS LTDA,4,1,225,0.0,211,93.78,572.21,522.78,540.88,560.22,656.4,,,,73.4,,91.9,7.4,0.7,Maior que 90 alunos
2011,25,PB,2504009,Campina Grande,25071009,CIE - CENTRO INTERATIVO DE ENSINO LTDA,4,1,23,,19,82.61,522.82,506.8,585.59,558.31,565.26,,,,,,96.9,2.1,1.0,De 1 a 30 alunos
2013,25,PB,2504009,Campina Grande,25071009,CIE - CENTRO INTERATIVO DE ENSINO LTDA,4,1,32,0.0,30,93.75,533.0,491.76,519.51,542.79,610.0,,,,63.5,,94.6,5.4,0.0,De 31 a 60 alunos
