cod,escola,2005,2007,2009,2011,2013,2015,2017
25070703,CAIC JOSE JOFILLY,2.7,3.4,2.6,2.9,-,-,-
25070720,EMEF CEAI ANTONIO MARIZ,-,-,3.7,-,-,-,4
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,-,-,3.4,-,3.5,3.5,3.5
25071394,EEEFM MONSENHOR SALES,2.5,3.8,-,-,-,2.4,-
25071939,ESC EST AUDIO COMUNICACAO DE C GRANDE,-,-,-,-,-,-,-
25072005,EEEFM ADEMAR VELOSO SILVEIRA,3.1,2.4,2.3,2.4,2.9,3.3,-
25072013,EEEFM PROF RAUL CORDULA,3.4,2.4,2.6,3.2,3.2,4.3,-
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2.1,3.1,2.6,2.4,4,3,3.3
25072030,EEEFM NENZINHA CUNHA LIMA,2.1,2.7,2.7,3.2,2.9,-,-
25072048,EEEF JOSE DOROTEIA DUTRA,2.3,-,3.7,-,-,-,-
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2.4,3.1,2.9,2.8,2.6,-,-
25072064,EEEF MARIA AUGUSTA LUCENA BRITO,-,-,-,-,-,-,4
25072080,EEEF NINA ALVES DE LIMA,2.6,2.4,1.6,-,3.2,2.5,1.6
25072099,EEEFM ASSIS CHATEAUBRIAND,2.1,1.7,1.8,-,-,-,-
25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2.8,2.1,2,2.7,-,2.8,3.5
25072110,EEEFM FELIX ARAUJO,1.8,2,2.4,2.7,3.5,3.2,3.7
25072129,EEEFM SAO SEBASTIAO,2.6,2.6,3.2,2.6,3.1,3.8,-
25072137,EEEFM PROF ANESIO LEAO,2.4,3.1,2.5,2.4,2,3.3,-
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,2.9,3.3,1.7,3.2,2.8,3.3,3.6
25072153,EEEFM SEVERINO CABRAL,3.2,3.7,4,4.4,-,-,-
25072161,EEEF NOSSA SENHORA DO ROSARIO,2.8,2.9,2.8,3.5,4.5,4.5,4.7
25072170,EMEF ADV OTAVIO AMORIM,-,-,-,-,-,-,4.9
25072196,EEEF ANTONIO VICENTE,2.7,3.4,3.2,2.8,3.9,4.1,4.2
25072218,EEEFM CLEMENTINO PROCOPIO,3.8,2.1,1.9,2.4,1.9,2.8,-
25072226,EEEF DE APLICACAO,3.2,4.3,3.5,3.7,3.3,3.6,3.4
25072234,EEEF DE MONTE SANTO,2.1,2.6,2.8,3,2.4,2.4,3.9
25072242,EEEF JOSE PINHEIRO,1.8,2,2.5,3.3,3.1,2.6,-
25072277,EEEF MONTE CARMELO CEPES CGI,2.5,2.6,1.9,3.1,3,3.1,-
25072285,EEEF MURILO BRAGA,2.9,2.9,2.9,2.3,2.5,3.9,3.1
25072293,EEEF NOSSA SENHORA APARECIDA,-,1.8,2.4,2,-,2.4,-
25072307,EEEF SOLON DE LUCENA,2.6,3,3.4,3.3,2.7,3.2,3.9
25072340,EEEF ALCEU DO AMOROSO LIMA,2.3,3.1,2.7,3.3,3.5,3.4,-
25072374,EEEF MA EMILIA O DE ALMEIDA,3.1,2.8,2.7,3.4,3.4,3.2,3.2
25072404,EEEFM RUBENS DUTRA II,-,-,2.7,3.1,2.8,2.9,3.6
