CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2005,2.6
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2007,2.8
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2009,3.7
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2011,4
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2013,4
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2015,5
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA,2017,4.5
25071394,EEEFM MONSENHOR SALES,2005,2.8
25071394,EEEFM MONSENHOR SALES,2007,3.1
25071394,EEEFM MONSENHOR SALES,2009,3.4
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2005,3.1
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2007,4
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2009,4
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2011,2.3
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2005,3.4
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2007,4.4
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2009,3.1
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2011,4.1
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2013,4.4
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,2015,4.9
25072080,EEEF NINA ALVES DE LIMA,2005,2.9
25072080,EEEF NINA ALVES DE LIMA,2007,2.3
25072080,EEEF NINA ALVES DE LIMA,2009,2.9
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,2007,3.6
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,2011,3.8
25072161,EEEF NOSSA SENHORA DO ROSARIO,2005,4.5
25072161,EEEF NOSSA SENHORA DO ROSARIO,2007,4.2
25072161,EEEF NOSSA SENHORA DO ROSARIO,2009,4.8
25072161,EEEF NOSSA SENHORA DO ROSARIO,2011,4.7
25072161,EEEF NOSSA SENHORA DO ROSARIO,2013,5.1
25072170,EMEF ADV OTAVIO AMORIM,2005,3.1
25072170,EMEF ADV OTAVIO AMORIM,2007,3.7
25072170,EMEF ADV OTAVIO AMORIM,2009,4
25072170,EMEF ADV OTAVIO AMORIM,2011,3.9
25072170,EMEF ADV OTAVIO AMORIM,2013,5.1
25072170,EMEF ADV OTAVIO AMORIM,2015,4.1
25072170,EMEF ADV OTAVIO AMORIM,2017,5.6
25072196,EEEF ANTONIO VICENTE,2005,2.6
25072196,EEEF ANTONIO VICENTE,2007,3
25072196,EEEF ANTONIO VICENTE,2009,4.4
25072196,EEEF ANTONIO VICENTE,2011,4.4
25072196,EEEF ANTONIO VICENTE,2013,4.7
25072196,EEEF ANTONIO VICENTE,2015,4.9
25072196,EEEF ANTONIO VICENTE,2017,5.3
25072200,EEEF AUGUSTO DOS ANJOS,2005,2.9
25072200,EEEF AUGUSTO DOS ANJOS,2007,3.7
25072200,EEEF AUGUSTO DOS ANJOS,2009,4
25072200,EEEF AUGUSTO DOS ANJOS,2011,4
25072200,EEEF AUGUSTO DOS ANJOS,2013,5.2
25072200,EEEF AUGUSTO DOS ANJOS,2017,4.9
25072218,EEEFM CLEMENTINO PROCOPIO,2005,3.5
25072218,EEEFM CLEMENTINO PROCOPIO,2007,2.6
25072218,EEEFM CLEMENTINO PROCOPIO,2009,3.4
25072226,EEEF DE APLICACAO,2005,3.8
25072226,EEEF DE APLICACAO,2007,4.3
25072226,EEEF DE APLICACAO,2009,4.5
25072226,EEEF DE APLICACAO,2011,4.9
25072226,EEEF DE APLICACAO,2013,4.5
25072226,EEEF DE APLICACAO,2015,4.6
25072277,EEEF MONTE CARMELO CEPES CGI,2005,2.5
25072277,EEEF MONTE CARMELO CEPES CGI,2007,4.4
