Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250010605000001,1,1528,667,10,1,849,1
250010605000002,1,500,235,6,5,253,1
250010605000003,1,889,450,19,2,418,0
250010605000004,8,860,303,6,10,541,0
250010605000005,5,667,225,7,12,423,0
250010605000006,8,604,226,6,6,366,0
250010605000007,8,371,117,7,1,246,0
250010605000008,8,552,233,18,11,289,1
250010605000009,8,785,370,31,12,372,0
250010605000010,8,581,194,2,24,361,0
250010605000011,1,1144,466,14,19,645,0
250010605000012,5,177,59,17,0,101,0
250010605000013,5,165,59,13,0,93,0
250010605000014,8,626,236,4,1,385,0
250020505000001,1,1014,435,13,1,564,1
250020505000002,1,693,273,12,0,408,0
250020505000003,8,344,128,4,14,198,0
250020505000004,8,289,130,1,0,158,0
250020505000005,8,129,41,0,0,88,0
250020505000006,8,617,260,10,2,345,0
250020505000007,8,422,181,0,3,238,0
250020505000008,8,194,63,7,1,123,0
250020505000009,8,810,286,20,13,491,0
250020505000010,8,24,5,0,0,19,0
250020505000011,1,994,449,22,2,521,0
250030405000001,1,713,366,22,0,325,0
250030405000002,1,1070,361,87,24,598,0
250030405000003,1,925,349,57,12,506,1
250030405000004,1,458,153,12,0,293,0
250030405000005,1,587,72,56,2,457,0
250030405000006,1,518,186,25,6,301,0
250030405000007,1,678,301,32,0,345,0
250030405000008,1,857,275,25,11,546,0
250030405000009,1,1095,376,32,12,675,0
250030405000010,1,1164,357,48,1,758,0
250030405000011,1,438,121,20,0,297,0
250030405000012,1,640,244,40,7,349,0
250030405000013,1,584,197,60,0,327,0
250030405000014,1,276,71,14,1,190,0
250030405000015,1,1152,347,205,16,583,1
250030405000016,8,1203,293,434,3,473,0
250030405000017,8,144,51,0,0,93,0
250030405000018,5,1241,360,143,42,696,0
250030405000019,5,545,223,6,3,313,0
250030405000020,8,402,143,33,6,220,0
250030405000021,8,349,25,12,1,311,0
250030405000022,8,245,32,15,0,198,0
250030405000023,8,260,40,1,0,219,0
250030405000024,8,18,3,0,0,15,0
250030405000025,8,434,152,4,0,278,0
250030405000026,8,27,6,0,0,21,0
250030405000027,8,323,40,2,0,281,0
250030405000028,8,691,312,46,1,332,0
250030405000029,8,571,111,49,2,409,0
250030405000030,5,1058,319,42,5,692,0
250030405000031,5,1114,362,118,22,612,0
250030405000032,8,376,47,239,0,90,0
250030405000033,8,347,64,4,3,276,0
250030405000034,8,441,37,0,1,403,0
250030405000035,8,279,58,1,0,220,0
250030405000036,8,880,305,55,5,515,0
250030405000037,1,560,203,73,27,257,0
250030405000038,1,742,239,62,1,440,0
250030405000039,1,733,136,20,0,577,0
250030405000040,1,1158,319,119,1,717,2
250030405000041,1,623,192,20,2,409,0
250030405000042,1,822,221,25,0,576,0
250030405000043,1,730,205,54,9,462,0
250030405000044,1,1008,213,81,0,714,0
250040305000001,1,993,387,57,5,544,0
250040305000002,1,1107,312,120,7,668,0
250040305000003,1,1226,342,71,7,806,0
250040305000004,1,1199,364,72,24,739,0
250040305000005,1,732,203,30,13,486,0
250040305000006,1,1161,259,102,21,779,0
250040305000007,1,1429,400,84,1,944,0
250040305000008,1,775,210,21,7,537,0
250040305000009,8,472,181,17,6,268,0
250040305000010,8,487,101,62,8,316,0
250040305000011,8,1329,277,38,14,1000,0
250040305000012,8,413,68,13,4,328,0
250040305000013,8,509,239,46,22,202,0
250040305000014,8,946,237,55,35,619,0
250040305000015,8,1095,255,4,97,739,0
250040305000016,8,838,110,110,1,617,0
250040305000017,5,428,190,6,15,217,0
250040305000018,8,1355,507,24,1,823,0
250040305000019,8,282,93,0,0,189,0
250040305000020,8,754,285,23,1,445,0
250040305000021,8,612,227,4,0,381,0
250040305000022,8,367,95,1,2,269,0
250040305000023,1,567,137,20,0,410,0
250040305000024,1,605,205,7,11,382,0
250050205000001,1,996,223,18,13,741,1
250050205000002,1,953,253,89,10,601,0
250050205000003,1,1068,300,71,1,692,4
250050205000004,1,1243,339,92,24,788,0
250050205000005,1,1115,340,35,10,730,0
250050205000006,1,1453,389,60,6,997,1
250050205000007,1,1025,288,84,5,648,0
250050205000008,1,1181,308,65,10,798,0
250050205000009,8,456,47,18,4,387,0
250050205000010,8,496,109,64,6,317,0
250050205000011,8,373,97,17,14,245,0
250050205000012,8,405,114,11,11,269,0
250050205000013,8,551,135,39,9,368,0
250050205000014,8,327,107,2,3,215,0
250050205000015,8,204,42,12,2,148,0
250050205000016,8,406,142,15,2,247,0
250050205000017,8,776,250,17,4,505,0
250050205000018,5,346,91,11,4,239,1
250050205000019,5,202,46,10,9,137,0
250053605000001,1,618,284,41,0,293,0
250053605000002,1,726,267,7,0,452,0
250053605000003,8,363,141,15,6,201,0
250053605000004,5,428,218,22,0,188,0
250053605000005,8,542,215,23,3,301,0
250053605000006,8,425,143,0,0,282,0
250053605000007,8,777,305,32,0,440,0
250053605000008,8,169,83,0,0,86,0
250053605000009,1,720,262,38,0,420,0
250053605000010,5,471,229,31,1,210,0
250057705000001,1,707,324,62,0,321,0
250057705000002,8,506,149,14,4,339,0
250057705000003,8,234,81,39,0,114,0
250057705000004,8,395,143,19,0,233,0
250057705000005,1,524,174,71,1,278,0
250060105000001,1,836,225,27,43,541,0
250060105000002,1,1171,388,115,11,657,0
250060105000003,1,925,241,6,4,674,0
250060105000004,1,769,241,56,6,465,1
250060105000005,1,864,299,54,12,496,3
250060105000006,1,497,192,22,3,280,0
250060105000007,1,593,238,14,0,341,0
250060105000008,1,419,117,35,0,264,3
250060105000009,8,572,186,28,9,349,0
250060105000010,8,179,26,2,0,151,0
250060105000011,8,393,113,32,9,239,0
250060105000012,8,517,138,62,6,311,0
250060105000013,8,49,6,0,0,43,0
250060105000014,8,557,206,31,11,309,0
250060105000015,5,1456,473,509,14,458,2
250060105000016,5,643,231,8,0,404,0
250060105000017,8,372,123,0,0,249,0
250060105000018,8,96,13,1,0,82,0
250060105000019,1,805,234,90,53,412,16
250060105000020,1,433,117,18,20,278,0
250060105000021,1,380,118,1,1,260,0
250060105000022,1,548,162,74,8,304,0
250060105000023,1,894,346,120,0,428,0
