Ano;UF;Município;Escola;Rede;Taxa de participação;Participantes;Dados são representativos;Ciências Humanas;Ciências da Natureza;Linguagens e Códigos;Matemática;Redação;Link da escola no QEdu
2017;PB;Campina Grande;ADEMAR VELOSO SILVEIRA;Todas;61,18%;52;Sim;487,3;493,9;486,5;465,4;485,4;http://www.qedu.org.br/escola/83183-eeefm-ademar-veloso-silveira/enem
2017;PB;Campina Grande;AECAD ASSOCIACAO DE EDUCACAO E CULTURA ALFREDO DANTAS;Todas;72,16%;140;Sim;570,6;543,9;529,8;555,7;731,9;http://www.qedu.org.br/escola/273866-aecad-associacao-de-educacao-e-cultura-alfredo-dantas/enem
2017;PB;Campina Grande;ANTONIO GUEDES DE ANDRADE;Todas;75%;15;Sim;452,7;456,5;460,8;436,1;564;http://www.qedu.org.br/escola/84546-eeefm-antonio-guedes-de-andrade/enem
2017;PB;Campina Grande;AUTENTICO LTDA;Todas;58,33%;42;Sim;585;550,4;550,3;592,3;711;http://www.qedu.org.br/escola/75722-colegio-autentico-ltda/enem
2017;PB;Campina Grande;CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA;Todas;97,25%;177;Sim;638,9;623,4;588,6;709,7;816,4;http://www.qedu.org.br/escola/81306-centro-campinense-de-educacao-ltda-colegio-motiva/enem
2017;PB;Campina Grande;CENECISTA CONEGO PEDRO SERRAO;Todas;3,33%;1;Não;425,1;424,8;518,3;718,2;400;http://www.qedu.org.br/escola/80444-escola-cenecista-conego-pedro-serrao/enem
2017;PB;Campina Grande;CIE CENTRO INTERATIVO DE ENSINO LTDA;Todas;93,55%;29;Sim;536,6;516,4;507,2;541,5;731,7;http://www.qedu.org.br/escola/79237-cie-centro-interativo-de-ensino-ltda/enem
2017;PB;Campina Grande;COLEGIO ALICE COUTINHO LTDA;Todas;82,81%;53;Sim;554;522,4;526,2;532,9;652,1;http://www.qedu.org.br/escola/264956-colegio-alice-coutinho-ltda/enem
2017;PB;Campina Grande;COLEGIO E CURSO CEA;Todas;100%;11;Sim;474;491,1;475,1;523,4;563,6;http://www.qedu.org.br/escola/79185-colegio-e-curso-cea/enem
2017;PB;Campina Grande;COLEGIO NOVO MILENIO;Todas;100%;14;Sim;530,4;482,5;517,5;515,9;564,3;http://www.qedu.org.br/escola/273930-colegio-novo-milenio/enem
2017;PB;Campina Grande;DEPUTADO ALVARO GAUDENCIO DE QUEIROZ;Todas;69,37%;77;Sim;482,9;465,4;486,8;465;524,4;http://www.qedu.org.br/escola/80843-eeefm-deputado-alvaro-gaudencio-de-queiroz/enem
2017;PB;Campina Grande;DJANIRA TAVARES;Todas;100%;29;Sim;551,5;539;535,6;581,8;659,3;http://www.qedu.org.br/escola/81808-colegio-djanira-tavares/enem
2017;PB;Campina Grande;DOM LUIZ GONZAGA FERNANDES;Todas;100%;37;Sim;498,7;503,4;493,9;498;516,8;http://www.qedu.org.br/escola/81504-eeefm-dom-luiz-gonzaga-fernandes/enem
2017;PB;Campina Grande;DOUTOR ELPIDIO DE ALMEIDA;Todas;100%;320;Sim;505;493,2;503,6;495,5;572,9;http://www.qedu.org.br/escola/81668-eeem-doutor-elpidio-de-almeida/enem
2017;PB;Campina Grande;DOUTOR HORTENSIO DE SOUSA RIBEIRO;Todas;72,06%;147;Sim;495,8;494,6;498,7;505,7;555,7;http://www.qedu.org.br/escola/75939-eeefm-doutor-hortensio-de-sousa-ribeiro/enem
2017;PB;Campina Grande;E CURSO PETRONIO FIGUEIREDO LTDA;Todas;100%;93;Sim;581,8;557,1;552,6;607,4;730,8;http://www.qedu.org.br/escola/84271-colegio-e-curso-petronio-figueiredo-ltda/enem
